"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","3039"
">","THREAD_COUNT:","0"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","-374.8146481424097"
">","EXTENTS_TOP:","-208.5408743297658"
">","EXTENTS_RIGHT:","374.8146481424097"
">","EXTENTS_BOTTOM:","208.54087432976578"
">","EXTENTS_WIDTH:","749.6292962848194"
">","EXTENTS_HEIGHT:","417.0817486595316"
">","COMMAND_JUMP","4"
">","COMMAND_STITCH","3034"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","name","BN"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#000000","Black","Anchor","403","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","345","STITCH","-300.1178881777824","16.45512566976751"
"*","346","STITCH","-300.1178881777824","-33.54487433023252"
"*","347","STITCH","-300.1178881777824","-83.5448743302325"
"*","348","STITCH","-300.1178881777824","-86.84274036821341"
"*","349","STITCH","-298.4812833774691","-89.14582583002314"
"*","350","STITCH","-276.42979325403314","-68.97289590927062"
"*","351","STITCH","-279.9753358889325","-55.9631717613226"
"*","352","STITCH","-280.69568139199725","-8.493332843814557"
"*","353","STITCH","-320.52364774929845","1.3975437944214661"
"*","354","STITCH","-279.82194665617925","-4.180114321992704"
"*","355","STITCH","-280.0995078515161","41.5357794350613"
"*","356","STITCH","-280.37706901472546","87.2516679005461"
"*","357","STITCH","-279.664431105723","38.18708651387885"
"*","358","STITCH","-279.3824708934245","-10.838631676100135"
"*","359","STITCH","-276.8458141975019","-58.447925547292954"
"*","360","STITCH","-276.80430171807194","-19.46710306193245"
"*","361","STITCH","-277.0647661675943","19.950644502684668"
"*","362","STITCH","-277.28011086492205","59.368635542416115"
"*","363","STITCH","-279.88249138244544","92.31738554168689"
"*","364","STITCH","-282.98942884066935","97.38889084297696"
"*","365","STITCH","-282.63903579747137","48.03866576472237"
"*","366","STITCH","-282.33940775017146","-1.3117629231738306"
"*","367","STITCH","-325.0938220954114","4.808897586041411"
"*","368","STITCH","-316.1992595800206","-3.1753105387024334"
"*","369","STITCH","-283.19247058866375","-10.513872937011428"
"*","370","STITCH","-283.13904462223934","-44.10144237885436"
"*","371","STITCH","-278.7564019319444","-64.74593151470006"
"*","372","STITCH","-273.79635544674704","-75.5974166543952"
"*","373","STITCH","-274.21060292919253","-29.81201131282083"
"*","374","STITCH","-274.54300435758523","15.974060497236337"
"*","375","STITCH","-274.79314121156744","61.76061754429483"
"*","376","STITCH","-277.43134362722395","92.95571499751927"
"*","377","STITCH","-285.57348409271356","104.35408923416443"
"*","378","STITCH","-285.27295703937455","70.08866012472018"
"*","379","STITCH","-285.06491292570536","35.822621654398034"
"*","380","STITCH","-284.85686884416367","1.5565884756450146"
"*","381","STITCH","-328.0670072205781","8.05034369591911"
"*","382","STITCH","-321.7477523016816","-3.625571489322539"
"*","383","STITCH","-285.6892597853302","-12.534413030208327"
"*","384","STITCH","-285.6071962482411","-49.228359350137225"
"*","385","STITCH","-275.4923536334766","-77.45568494679634"
"*","386","STITCH","-271.17908436070053","-81.63115541780552"
"*","387","STITCH","-271.6879712646821","-32.30210515062265"
"*","388","STITCH","-272.0487253523562","17.0280946867596"
"*","389","STITCH","-272.31822446685965","66.35883657423946"
"*","390","STITCH","-275.061585503366","93.77821546162798"
"*","391","STITCH","-288.14761507227263","110.49514037550071"
"*","392","STITCH","-287.80366615413834","75.1390352367242"
"*","393","STITCH","-287.5889980300834","39.781984909809466"
"*","394","STITCH","-287.3743299381558","4.424939874463888"
"*","395","STITCH","-330.53338303916706","11.176323010102067"
